release,swiss_prot_count,trembl_count,total_count,swiss_prot_percentage
2016_01,550299,59718159,60268458,0.9130796079103267
2016_02,550552,60971489,61522041,0.8948857857300281
2016_03,550740,63039659,63590399,0.866074138015709
2016_04,550960,63686057,64237017,0.8576986070196878
2016_05,551193,62148086,62699279,0.8791058027955951
2016_06,551385,64028668,64580053,0.853800785824688
2016_07,551705,65378749,65930454,0.8367984239877979
2016_08,551987,66905753,67457740,0.8182708166624022
2016_09,552259,67940995,68493254,0.8062969237817201
2016_10,552884,70656157,71209041,0.7764238813439434
2016_11,553231,71002161,71555392,0.7731506802450331
2017_01,553474,73711881,74265355,0.7452654067296924
2017_02,553655,77483538,78037193,0.7094758008530625
2017_03,553941,80204459,80758400,0.6859236933866941
2017_04,554241,84827567,85381808,0.649132424087342
2017_05,554515,85272789,85827304,0.6460822770338912
2017_06,554860,87291332,87846192,0.6316266958959359
2017_07,555100,88032926,88588026,0.6266083861040092
2017_08,555426,89396316,89951742,0.6174710879973841
2017_09,555594,90050711,90606305,0.6131957373165146
2017_10,556006,93236986,93792992,0.5928012190932133
2017_11,556196,98705220,99261416,0.5603345412682809
2017_12,556388,102248261,102804649,0.5412089875429661
2018_01,556568,107627435,108184003,0.5144642318328708
2018_02,556825,108857716,109414541,0.5089131617341428
2018_03,557012,111425245,111982257,0.49741094252101026
2018_04,557275,114759640,115316915,0.4832552102178592
2018_05,557491,115678811,116236302,0.4796186650879516
2018_06,557713,116030110,116587823,0.4783629933633807
2018_07,557992,120243849,120801841,0.4619068677935132
2018_08,558125,124797108,125355233,0.44523470352450306
2018_09,558590,126780198,127338788,0.43866445469859505
2018_10,558681,133507323,134066004,0.41672085639249756
2018_11,558898,137213158,137772056,0.40566862121880504
2019_01,559077,139694261,140253338,0.398619389721762
2019_02,559228,146106279,146665507,0.38129483301073647
2019_03,559634,147413762,147973396,0.3781990649183992
2019_04,560118,156077686,156637804,0.3575880060218413
2019_05,560292,158257522,158817814,0.35278913988829996
2019_06,560459,158532418,159092877,0.3522841566313494
2019_07,560537,167761270,168321807,0.33301507985830975
2019_08,560823,171501488,172062311,0.3259418037224898
2019_09,561176,180179667,180740843,0.3104865456448048
2019_10,561356,181787788,182349144,0.3078467974601515
2019_11,561568,179250561,179812129,0.3123081869521716
2020_01,561911,177754527,178316438,0.3151201349143145
2020_02,562253,180690447,181252700,0.31020393075523844
2020_03,562755,184998855,185561610,0.3032712423652716
2020_04,563082,188961949,189525031,0.2971016530265071
2020_05,563552,195104019,195667571,0.28801502319462025
2020_06,563972,209157139,209721111,0.2689152261834051
2021_01,564277,207800733,208365010,0.27081178360992564
2021_02,564638,214406399,214971037,0.2626577086289071
2021_03,565254,219174961,219740215,0.257237392800403
